"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42045402600,"Darby, PA",0.8261
42101027902,"Belfield, Philadelphia, PA",0.8257
42101027500,"North Philadelphia, Philadelphia, PA",0.8257
42101027800,"Olney-Oak Lane, Philadelphia, PA",0.8257
42101019502,"Fairhill, Philadelphia, PA",0.8256
42101013500,"Fairmount, Philadelphia, PA",0.8252
42101021700,"Northwest Philadelphia, Philadelphia, PA",0.8252
42101021800,"Roxborough-Manayunk, Philadelphia, PA",0.8251
42101014300,"Fishtown, Philadelphia, PA",0.8251
42091203902,"Norristown, PA",0.8247
42101006000,"Southwest Philadelphia, Philadelphia, PA",0.8246
42101031402,"Oxford Circle/ Castor, Philadelphia, PA",0.8246
34007602902,"Pennsauken Township, NJ",0.8245
42101033900,"Fox Chase/ Burholme, Philadelphia, PA",0.8241
34015501001,"Woodbury, NJ",0.8235
42101030800,"Oxford Circle/ Castor, Philadelphia, PA",0.8232
42017100103,"Bensalem, PA",0.8232
34015501101,"Westville, NJ",0.8231
42101028600,"North Philadelphia, Philadelphia, PA",0.8229
42101030700,"Lawncrest, Philadelphia, PA",0.8222
42045400302,"Lansdowne, PA",0.822
34005700900,"Beverly, NJ",0.8217
42101017400,"North Philadelphia, Philadelphia, PA",0.8214
42101028902,"Juniata Park/ Feltonville, Philadelphia, PA",0.8205
42045400600,"Upper Darby, PA",0.8204
42101017601,"Fairhill, Philadelphia, PA",0.8194
34007602602,"Pennsauken Township, NJ",0.819
42101009500,"Haddington, Philadelphia, PA",0.8189
42101024400,"Germantown, Philadelphia, PA",0.8188
42045403602,"Norwood, PA",0.8183
34007604100,"Oaklyn, NJ",0.818
34005700701,"Riverside, NJ",0.8176
34005700403,"Maple Shade Township, NJ",0.8176
42045403200,"Aldan, PA",0.8175
42091204008,"Conshohocken, PA",0.8174
42101036501,"Northeast Philadelphia, Philadelphia, PA",0.8173
34005700304,"Cinnaminson, NJ",0.8171
42101021500,"Manayunk, Philadelphia, PA",0.8169
42101038900,"Northwest Philadelphia, Philadelphia, PA",0.8169
34007608302,"Camden County, NJ",0.8163
42101024300,"Germantown, Philadelphia, PA",0.816
42101036502,"Northeast Philadelphia, Philadelphia, PA",0.8159
42101008000,"West Philadelphia, Philadelphia, PA",0.8158
42101034801,"Northeast Philadelphia, Philadelphia, PA",0.8155
42101014200,"North Philadelphia, Philadelphia, PA",0.8154
42091204102,"Conshohocken, PA",0.8154
42045402800,"Sharon Hill, PA",0.8149
34007607100,"Runnemede, NJ",0.8146
34007608206,"Camden County, NJ",0.8146
34007603002,"Pennsauken Township, NJ",0.8142
34007600700,"Cooper Point, Camden, NJ",0.8139
42101025200,"East Germantown, Philadelphia, PA",0.8138
42017100102,"Bensalem, PA",0.8135
42091201704,"Glenside, PA",0.8134
42101028700,"Hunting Park, Philadelphia, PA",0.8134
42017100105,"Bensalem, PA",0.8133
42101038300,"Hunting Park, Philadelphia, PA",0.8131
42045403902,"Ridley Park, PA",0.8127
42101011300,"Overbrook, Philadelphia, PA",0.8126
34007601102,"Rosedale, Camden, NJ",0.8123
42091203602,"Norristown, PA",0.8122
34007610900,"Audubon, NJ",0.8121
42101005600,"Southwest Philadelphia, Philadelphia, PA",0.8117
42091203500,"Norristown, PA",0.8115
34015501102,"Woodbury, NJ",0.8114
42017100208,"Bensalem, PA",0.8112
42101026800,"North Philadelphia, Philadelphia, PA",0.811
34005700702,"Riverside, NJ",0.8104
42101033300,"Northeast Philadelphia, Philadelphia, PA",0.8098
42045400700,"Upper Darby, PA",0.8097
42101022000,"Northwest Philadelphia, Philadelphia, PA",0.8091
42045401501,"Clifton Heights, PA",0.8089
42101027401,"North Philadelphia, Philadelphia, PA",0.8087
34007607300,"Magnolia, NJ",0.8084
42101026302,"North Philadelphia, Philadelphia, PA",0.8084
42045402900,"Sharon Hill, PA",0.8079
42091201605,"Roslyn, Abington, PA",0.8077
42101033800,"Fox Chase/ Burholme, Philadelphia, PA",0.8077
42101028400,"North Philadelphia, Philadelphia, PA",0.8076
42101008602,"Walnut Hill, Philadelphia, PA",0.8076
42045401000,"Drexel Hill, Upper Darby, PA",0.8076
42101033701,"Northeast Philadelphia, Philadelphia, PA",0.8074
42091210600,"Plymouth Meeting, PA",0.8072
42101031401,"Oxford Circle/ Castor, Philadelphia, PA",0.8072
42045403601,"Norwood, PA",0.8066
42101030200,"Frankford, Philadelphia, PA",0.8066
42091204200,"Conshohocken, PA",0.8066
42101035500,"Bustleton, Philadelphia, PA",0.8065
42045402700,"Darby, PA",0.8063
42017100201,"Trevose, Feasterville-Trevose, PA",0.8062
42101031200,"Oxford Circle/ Castor, Philadelphia, PA",0.8059
42101031000,"Oxford Circle/ Castor, Philadelphia, PA",0.8056
42045403800,"Prospect Park, PA",0.8056
42101025900,"North Philadelphia, Philadelphia, PA",0.8055
42101021400,"Manayunk, Philadelphia, PA",0.8054
42101006500,"Philadelphia, PA",0.8054
34015500500,"Gibbstown, Greenwich Township, NJ",0.8052
42045401200,"Drexel Hill, Upper Darby, PA",0.8047
42101026100,"North Philadelphia, Philadelphia, PA",0.8044
42017100212,"Bensalem, PA",0.8042
42045410601,"Folsom, PA",0.8042
42017100104,"Northeast Philadelphia, Philadelphia, PA",0.8041
42101020700,"East Falls, Philadelphia, PA",0.8038
