tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24510250500,"Curtis Bay, Baltimore, MD",0.7643,18416,,,, Baltimore
24510270703,"North Harford Road, Baltimore, MD",0.7606,34890,,,, Baltimore
24005440300,"Nottingham, MD",0.7596,,,,,#VALUE!
24510240100,"Locust Point, Baltimore, MD",0.7585,28528,,,, Baltimore
24510130803,"Medfield, Baltimore, MD",0.7585,29004,,,, Baltimore
24510270501,"Woodring, Baltimore, MD",0.7576,31089,,,, Baltimore
24510010100,"Canton, Baltimore, MD",0.7552,28566,,,, Baltimore
24003750300,"Linthicum Heights, MD",0.7548,,,,,#VALUE!
24005430900,"Baltimore, MD",0.7521,,,,,#VALUE!
24510270200,"Lauraville, Baltimore, MD",0.748,31128,,,, Baltimore
24510130700,"Hampden, Baltimore, MD",0.7476,27631,,,, Baltimore
24005440100,"Baltimore, MD",0.746,,,,,#VALUE!
24510250103,"Violetville, Baltimore, MD",0.7418,28314,,,, Baltimore
24003750202,"Brooklyn Park, MD",0.7411,,,,,#VALUE!
24510240200,"Riverside, Baltimore, MD",0.7392,37172,,,, Baltimore
24005403402,"Pikesville, MD",0.7373,,,,,#VALUE!
24510270502,"North Harford Road, Baltimore, MD",0.7369,31310,,,, Baltimore
24510030200,"Little Italy, Baltimore, MD",0.7359,23163,,,, Baltimore
24005440200,"Nottingham, MD",0.7355,,,,,#VALUE!
24005403202,"Gwynn Oak, Baltimore, MD",0.7315,25215,,,, Baltimore
24005400702,"Baltimore, MD",0.7307,,,,,#VALUE!
24510271101,"Radnor - Winston, Baltimore, MD",0.7263,28958,,,, Baltimore
24005492102,"Parkville, MD",0.7238,,,,,#VALUE!
24005491402,"Parkville, MD",0.7172,,,,,#VALUE!
24003751200,"Linthicum Heights, MD",0.7148,,,,,#VALUE!
24005400600,"Catonsville, MD",0.7091,,,,,#VALUE!
24510270804,"Lake Walker, Baltimore, MD",0.7024,30017,,,, Baltimore
24510120201,"Baltimore, MD",0.7021,,,,,#VALUE!
24510140100,"Bolton Hill, Baltimore, MD",0.694,28926,,,, Baltimore
24005400100,"Catonsville, MD",0.6938,,,,,#VALUE!
24510010500,"Upper Fells Point, Baltimore, MD",0.6837,26226,,,, Baltimore
24005491100,"Baltimore, MD",0.681,,,,,#VALUE!
24510130805,"Cold Springs, Baltimore, MD",0.672,35573,,,, Baltimore
24510272007,"Fallstaff, Baltimore, MD",0.6712,25872,,,, Baltimore
24510110200,"Downtown, Baltimore, MD",0.6677,21126,,,, Baltimore
