"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
42101003902,"South Philadelphia, Philadelphia, PA",31998
34007603200,"Cherry Hill, NJ",31939
34007605100,"Gloucester City, NJ",31935
42101001700,"Queen Village, Philadelphia, PA",31901
42101031402,"Oxford Circle/ Castor, Philadelphia, PA",31873
34007602602,"Pennsauken Township, NJ",31860
42101030502,"Lawncrest, Philadelphia, PA",31653
34015500300,"National Park, NJ",31641
42101031102,"Oxford Circle/ Castor, Philadelphia, PA",31576
34007603001,"Merchantville, NJ",31504
42091201604,"Roslyn, Abington, PA",31275
42101009000,"Powelton Village, Philadelphia, PA",31229
42101031700,"Mayfair, Philadelphia, PA",31222
42045403101,"Collingdale, PA",31217
42017100103,"Bensalem, PA",31189
42101006100,"Elmwood, Philadelphia, PA",31134
42101021000,"Manayunk, Philadelphia, PA",31131
42091205300,"Ardmore, PA",31099
42101013602,"Brewerytown, Philadelphia, PA",31039
42091201603,"Willow Grove, PA",31012
42101012100,"Wynnefield, Philadelphia, PA",30957
34005700403,"Maple Shade Township, NJ",30916
42101031101,"Oxford Circle/ Castor, Philadelphia, PA",30901
42091201606,"Roslyn, Abington, PA",30836
34015501001,"Woodbury, NJ",30812
42045400401,"Upper Darby, PA",30793
34015501102,"Woodbury, NJ",30767
42045401301,"Drexel Hill, Upper Darby, PA",30726
34005702810,"Willingboro, NJ",30663
42101030200,"Frankford, Philadelphia, PA",30653
42101033000,"Holmesburg, Philadelphia, PA",30640
42101031401,"Oxford Circle/ Castor, Philadelphia, PA",30620
42101035100,"Northeast Philadelphia, Philadelphia, PA",30379
42101004001,"Lower Moyamensing, Philadelphia, PA",30321
34015500100,"Westville, NJ",30280
42101037200,"South Philadelphia, Philadelphia, PA",30197
42017100307,"Croydon, PA",30191
34005700703,"Riverside, NJ",30175
42101012204,"Wynnefield Heights, Philadelphia, PA",30163
42045403402,"Folcroft, PA",30124
42091204200,"Conshohocken, PA",29981
42101030501,"Lawncrest, Philadelphia, PA",29975
34007607000,"Bellmawr, NJ",29941
42101026100,"North Philadelphia, Philadelphia, PA",29920
42101036302,"Northeast Philadelphia, Philadelphia, PA",29918
42101032900,"Holmesburg, Philadelphia, PA",29751
42101027100,"North Philadelphia, Philadelphia, PA",29741
42101031300,"Oxford Circle/ Castor, Philadelphia, PA",29733
42101021400,"Manayunk, Philadelphia, PA",29711
34007607300,"Magnolia, NJ",29704
34007610500,"Pennsauken Township, NJ",29655
34005702807,"Willingboro, NJ",29646
42101006000,"Southwest Philadelphia, Philadelphia, PA",29525
42091204102,"Conshohocken, PA",29512
42101003001,"Newbold, Philadelphia, PA",29428
42045402800,"Sharon Hill, PA",29381
34007607402,"Somerdale, NJ",29314
42101000100,"Center City, Philadelphia, PA",29311
42101005400,"Eastwick, Philadelphia, PA",29309
42045404003,"Clifton Heights, PA",29289
42101030900,"Oxford Circle/ Castor, Philadelphia, PA",29257
34005702809,"Willingboro, NJ",29205
42045400402,"Upper Darby, PA",29199
42101031900,"Northeast Philadelphia, Philadelphia, PA",29159
42017100208,"Bensalem, PA",29109
42101027401,"North Philadelphia, Philadelphia, PA",29063
42045402000,"Lansdowne, PA",29044
42101025400,"East Mount Airy, Philadelphia, PA",29029
42045403401,"Folcroft, PA",29028
34007607401,"Somerdale, NJ",28948
42101000901,"Center City, Philadelphia, PA",28935
42045402600,"Darby, PA",28831
42101002300,"Passyunk Square, Philadelphia, PA",28786
42101027300,"North Philadelphia, Philadelphia, PA",28765
42101031800,"Oxford Circle/ Castor, Philadelphia, PA",28725
42101030100,"Frankford, Philadelphia, PA",28724
42101014300,"Fishtown, Philadelphia, PA",28717
42101009802,"Overbrook, Philadelphia, PA",28690
42101029100,"Lawncrest, Philadelphia, PA",28683
42101019000,"North Philadelphia, Philadelphia, PA",28596
34005700103,"Palmyra, NJ",28556
42101005000,"South Philadelphia East, Philadelphia, PA",28553
42101004201,"South Philadelphia, Philadelphia, PA",28518
42045402300,"Lansdowne, PA",28506
42101018001,"North Philadelphia, Philadelphia, PA",28492
42045400500,"Upper Darby, PA",28482
42101031200,"Oxford Circle/ Castor, Philadelphia, PA",28450
42091203500,"Norristown, PA",28442
42101005500,"Eastwick, Philadelphia, PA",28296
42101032300,"Northeast Philadelphia, Philadelphia, PA",28294
42101032500,"Northeast Philadelphia, Philadelphia, PA",28277
42101029000,"North Philadelphia, Philadelphia, PA",28170
42101026200,"North Philadelphia, Philadelphia, PA",28096
42101038900,"Northwest Philadelphia, Philadelphia, PA",28018
42101004002,"Lower Moyamensing, Philadelphia, PA",27997
42101000600,"Center City, Philadelphia, PA",27965
42045403104,"Collingdale, PA",27929
42045402100,"Lansdowne, PA",27874
42045403702,"Essington, Tinicum Township, PA",27829
42101011700,"West Philadelphia, Philadelphia, PA",27734
42017100302,"Croydon, PA",27732
42101004202,"South Philadelphia, Philadelphia, PA",27694
42101038000,"Frankford, Philadelphia, PA",27685
42045400801,"Upper Darby, PA",27540
42045404300,"Eddystone, PA",27531
34015501101,"Westville, NJ",27484
42101027200,"North Philadelphia, Philadelphia, PA",27427
42101036700,"North Philadelphia, Philadelphia, PA",27426
42101002400,"Bella Vista, Philadelphia, PA",27386
42101009801,"Overbrook, Philadelphia, PA",27379
42101019100,"Juniata Park/ Feltonville, Philadelphia, PA",27290
42101039000,"Northeast Philadelphia, Philadelphia, PA",27285
34005700407,"Maple Shade Township, NJ",27281
42101023700,"Mount Airy, Philadelphia, PA",27264
42091203602,"Norristown, PA",27107
42101015800,"Fishtown, Philadelphia, PA",26994
42101025900,"North Philadelphia, Philadelphia, PA",26928
42101006400,"Elmwood, Philadelphia, PA",26906
42101029200,"Lawncrest, Philadelphia, PA",26861
42017100304,"Levittown, PA",26789
42101026301,"North Philadelphia, Philadelphia, PA",26599
42101037800,"North Philadelphia, Philadelphia, PA",26527
42101010000,"West Philadelphia, Philadelphia, PA",26525
42045400302,"Lansdowne, PA",26468
42101008601,"Garden Court, Philadelphia, PA",26421
42101016000,"North Philadelphia, Philadelphia, PA",26382
42101029800,"Northeast Philadelphia, Philadelphia, PA",26361
42101026400,"North Philadelphia, Philadelphia, PA",26299
34007603002,"Pennsauken Township, NJ",26250
42101034600,"Northeast Philadelphia, Philadelphia, PA",26171
42101003901,"South Philadelphia, Philadelphia, PA",26170
42101032100,"Northeast Philadelphia, Philadelphia, PA",26160
34007610800,"Pennsauken Township, NJ",26081
34007602503,"Pennsauken Township, NJ",25973
34005700900,"Beverly, NJ",25869
42101026800,"North Philadelphia, Philadelphia, PA",25845
42101001800,"Bella Vista, Philadelphia, PA",25730
42101012000,"West Philadelphia, Philadelphia, PA",25653
42101007900,"Cedar Park, Philadelphia, PA",25649
42101028500,"North Philadelphia, Philadelphia, PA",25639
42101002801,"South Philadelphia, Philadelphia, PA",25631
42101006700,"Elmwood, Philadelphia, PA",25606
42091202401,"Elkins Park, PA",25605
42101027500,"North Philadelphia, Philadelphia, PA",25561
42101025300,"East Mount Airy, Philadelphia, PA",25519
42101006200,"Southwest Philadelphia, Philadelphia, PA",25509
42101007800,"West Philadelphia, Philadelphia, PA",25493
42101011400,"Overbrook, Philadelphia, PA",25369
42101014200,"North Philadelphia, Philadelphia, PA",25348
42045400301,"Upper Darby, PA",25340
34007606500,"Lawnside, NJ",25226
34005702808,"Willingboro, NJ",25164
42101023800,"Northwest Philadelphia, Philadelphia, PA",25053
34007611000,"Gloucester City, NJ",24922
42101003702,"South Philadelphia, Philadelphia, PA",24866
42101011500,"Overbrook, Philadelphia, PA",24862
42101000500,"Center City, Philadelphia, PA",24846
42101011800,"Overbrook, Philadelphia, PA",24805
42101026000,"North Philadelphia, Philadelphia, PA",24800
42101028200,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",24786
42101008702,"West Philadelphia, Philadelphia, PA",24775
42101026302,"North Philadelphia, Philadelphia, PA",24773
42101023900,"Northwest Philadelphia, Philadelphia, PA",24650
42101038200,"Harrowgate, Philadelphia, PA",24633
42101028901,"Juniata Park/ Feltonville, Philadelphia, PA",24598
34005700104,"Palmyra, NJ",24537
42101017900,"North Philadelphia, Philadelphia, PA",24519
42101037600,"North Philadelphia, Philadelphia, PA",24508
34015500400,"Paulsboro, NJ",24411
42045402900,"Sharon Hill, PA",24398
42101024000,"Germantown, Philadelphia, PA",24378
42101028100,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",24269
42101038100,"Northeast Philadelphia, Philadelphia, PA",24048
42101011300,"Overbrook, Philadelphia, PA",24020
42101024300,"Germantown, Philadelphia, PA",23992
42101027402,"North Philadelphia, Philadelphia, PA",23968
42101013500,"Fairmount, Philadelphia, PA",23925
42101028800,"Juniata Park/ Feltonville, Philadelphia, PA",23898
42101028902,"Juniata Park/ Feltonville, Philadelphia, PA",23859
42101027600,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",23813
42101008000,"West Philadelphia, Philadelphia, PA",23768
42101028600,"North Philadelphia, Philadelphia, PA",23751
42101008701,"Spruce Hill, Philadelphia, PA",23559
42101012201,"Wynnefield Heights, Philadelphia, PA",23521
42045402500,"Darby, PA",23467
42101006900,"Southwest Philadelphia, Philadelphia, PA",23439
42101018800,"Harrowgate, Philadelphia, PA",23437
42101027800,"Olney-Oak Lane, Philadelphia, PA",23420
42101028700,"Hunting Park, Philadelphia, PA",23357
42101008101,"Angora, Philadelphia, PA",23214
42091203902,"Norristown, PA",23120
42101008802,"West Philadelphia, Philadelphia, PA",23098
42101024400,"Germantown, Philadelphia, PA",23060
34007601200,"Stockton, Camden, NJ",23037
42101026600,"North Philadelphia, Philadelphia, PA",23017
42101027902,"Belfield, Philadelphia, PA",22921
42101024800,"East Germantown, Philadelphia, PA",22852
42101026700,"North Philadelphia, Philadelphia, PA",22825
42101009300,"Haddington, Philadelphia, PA",22689
42101003300,"South Philadelphia, Philadelphia, PA",22657
42101007200,"Angora, Philadelphia, PA",22657
42101008102,"West Philadelphia, Philadelphia, PA",22609
42101011200,"Carroll Park, Philadelphia, PA",22575
42101010100,"Carroll Park, Philadelphia, PA",22466
42101003600,"Grays Ferry, Philadelphia, PA",22455
42101011900,"Wynnefield, Philadelphia, PA",22448
34007604100,"Oaklyn, NJ",22368
42101017000,"North Philadelphia, Philadelphia, PA",22357
42101029400,"Frankford, Philadelphia, PA",22350
42101004102,"South Philadelphia, Philadelphia, PA",22306
42101008200,"Angora, Philadelphia, PA",22298
42101020102,"North Philadelphia, Philadelphia, PA",22231
42101008302,"Cobbs Creek, Philadelphia, PA",22224
42101006300,"Southwest Philadelphia, Philadelphia, PA",22147
42101007300,"Southwest Philadelphia, Philadelphia, PA",22067
42101010200,"Haddington, Philadelphia, PA",22031
42101010600,"Haverford North, Philadelphia, PA",22029
42101006600,"Elmwood, Philadelphia, PA",21982
42045402400,"Darby, PA",21949
42101028300,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",21917
42101020500,"North Philadelphia, Philadelphia, PA",21879
42045402700,"Darby, PA",21866
42101024100,"Germantown, Philadelphia, PA",21856
42101030000,"Frankford, Philadelphia, PA",21830
42101025200,"East Germantown, Philadelphia, PA",21762
42101019200,"North Philadelphia, Philadelphia, PA",21699
42101005600,"Southwest Philadelphia, Philadelphia, PA",21695
42101027901,"North Philadelphia, Philadelphia, PA",21673
42101014400,"North Philadelphia, Philadelphia, PA",21659
42101009500,"Haddington, Philadelphia, PA",21586
42101024900,"East Germantown, Philadelphia, PA",21487
42101024200,"Germantown, Philadelphia, PA",21430
42101004101,"South Philadelphia, Philadelphia, PA",21405
42101028400,"North Philadelphia, Philadelphia, PA",21393
42101007101,"Southwest Philadelphia, Philadelphia, PA",21392
42101029900,"Frankford, Philadelphia, PA",21379
